Date and time,Temperature,Description
2017-11-03 00:00:00,282.680,moderate rain
2017-11-03 01:00:00,282.410,mist
2017-11-03 02:00:00,282.030,mist
2017-11-03 03:00:00,282.040,mist
2017-11-03 04:00:00,282.040,mist
2017-11-03 05:00:00,281.650,mist
2017-11-03 06:00:00,281.140,mist
2017-11-03 07:00:00,280.960,mist
2017-11-03 08:00:00,280.590,mist
2017-11-03 09:00:00,279.960,mist
2017-11-03 10:00:00,278.850,mist
2017-11-03 11:00:00,278.220,overcast clouds
2017-11-03 12:00:00,277.680,overcast clouds
2017-11-03 13:00:00,277.320,overcast clouds
2017-11-03 14:00:00,277.680,mist
2017-11-03 15:00:00,278.320,overcast clouds
2017-11-03 16:00:00,279.120,overcast clouds
2017-11-03 17:00:00,279.710,overcast clouds
2017-11-03 18:00:00,280.860,overcast clouds
2017-11-03 19:00:00,281.300,overcast clouds
2017-11-03 20:00:00,281.780,overcast clouds
2017-11-03 21:00:00,282.140,broken clouds
2017-11-03 22:00:00,281.640,broken clouds
2017-11-03 23:00:00,281.040,broken clouds
2017-11-04 00:00:00,280.690,broken clouds
2017-11-04 01:00:00,279.950,broken clouds
2017-11-04 02:00:00,280.040,scattered clouds
2017-11-04 03:00:00,279.670,few clouds
2017-11-04 04:00:00,279.680,sky is clear
2017-11-04 05:00:00,279.590,sky is clear
2017-11-04 06:00:00,279.410,sky is clear
2017-11-04 07:00:00,279.060,sky is clear
2017-11-04 08:00:00,278.880,sky is clear
2017-11-04 09:00:00,279.340,sky is clear
2017-11-04 10:00:00,279.860,sky is clear
2017-11-04 11:00:00,280.160,broken clouds
2017-11-04 12:00:00,280.150,mist
2017-11-04 13:00:00,279.750,mist
2017-11-04 14:00:00,279.850,light intensity drizzle
2017-11-04 15:00:00,279.750,mist
2017-11-04 16:00:00,279.780,thunderstorm with drizzle
2017-11-04 17:00:00,280.450,proximity thunderstorm
2017-11-04 18:00:00,280.690,light rain
2017-11-04 19:00:00,280.790,mist
2017-11-04 20:00:00,281.150,mist
2017-11-04 21:00:00,281.150,mist
2017-11-04 22:00:00,281.600,mist
2017-11-04 23:00:00,281.870,fog
2017-11-05 00:00:00,282.140,mist
2017-11-05 01:00:00,282.240,moderate rain
2017-11-05 02:00:00,282.770,fog
2017-11-05 03:00:00,283.230,fog
2017-11-05 04:00:00,283.250,light rain
2017-11-05 05:00:00,283.420,moderate rain
2017-11-05 06:00:00,283.230,fog
2017-11-05 07:00:00,283.330,fog
2017-11-05 08:00:00,283.240,light intensity drizzle
2017-11-05 09:00:00,283.250,fog
2017-11-05 10:00:00,283.150,fog
2017-11-05 11:00:00,283.140,fog
2017-11-05 12:00:00,283.140,fog
2017-11-05 13:00:00,283.040,drizzle
2017-11-05 14:00:00,283.050,moderate rain
2017-11-05 15:00:00,283.490,fog
2017-11-05 16:00:00,283.510,proximity thunderstorm
2017-11-05 17:00:00,283.440,light intensity drizzle
2017-11-05 18:00:00,283.880,proximity thunderstorm with rain
2017-11-05 19:00:00,283.440,proximity thunderstorm
2017-11-05 20:00:00,284.050,light rain
2017-11-05 21:00:00,283.880,mist
2017-11-05 22:00:00,283.780,mist
2017-11-05 23:00:00,283.750,overcast clouds
2017-11-06 00:00:00,283.510,overcast clouds
2017-11-06 01:00:00,283.150,overcast clouds
2017-11-06 02:00:00,283.150,overcast clouds
2017-11-06 03:00:00,282.790,overcast clouds
2017-11-06 04:00:00,282.600,overcast clouds
2017-11-06 05:00:00,281.780,overcast clouds
2017-11-06 06:00:00,280.960,overcast clouds
2017-11-06 07:00:00,279.510,overcast clouds
2017-11-06 08:00:00,277.620,overcast clouds
2017-11-06 09:00:00,277.230,broken clouds
2017-11-06 10:00:00,276.140,overcast clouds
2017-11-06 11:00:00,275.110,broken clouds
2017-11-06 12:00:00,274.670,overcast clouds
2017-11-06 13:00:00,273.910,overcast clouds
2017-11-06 14:00:00,273.510,broken clouds
2017-11-06 15:00:00,274.910,broken clouds
2017-11-06 16:00:00,276.010,broken clouds
2017-11-06 17:00:00,277.760,broken clouds
2017-11-06 18:00:00,278.320,broken clouds
2017-11-06 19:00:00,278.320,broken clouds
2017-11-06 20:00:00,278.330,broken clouds
2017-11-06 21:00:00,278.140,sky is clear
2017-11-06 22:00:00,278.820,broken clouds
2017-11-06 23:00:00,277.700,broken clouds
2017-11-07 00:00:00,277.150,scattered clouds
2017-11-07 01:00:00,277.050,broken clouds
2017-11-07 02:00:00,277.240,overcast clouds
2017-11-07 03:00:00,277.240,overcast clouds
2017-11-07 04:00:00,277.630,broken clouds
2017-11-07 05:00:00,277.490,overcast clouds
2017-11-07 06:00:00,277.400,overcast clouds
2017-11-07 07:00:00,277.490,broken clouds
2017-11-07 08:00:00,277.210,overcast clouds
2017-11-07 09:00:00,277.040,scattered clouds
2017-11-07 10:00:00,276.040,broken clouds
2017-11-07 11:00:00,275.630,overcast clouds
2017-11-07 12:00:00,275.330,overcast clouds
2017-11-07 13:00:00,275.330,overcast clouds
2017-11-07 14:00:00,276.490,overcast clouds
2017-11-07 15:00:00,277.750,broken clouds
2017-11-07 16:00:00,279.590,overcast clouds
2017-11-07 17:00:00,280.050,broken clouds
2017-11-07 18:00:00,280.540,broken clouds
2017-11-07 19:00:00,280.240,broken clouds
2017-11-07 20:00:00,280.340,scattered clouds
2017-11-07 21:00:00,280.350,overcast clouds
2017-11-07 22:00:00,279.930,overcast clouds
2017-11-07 23:00:00,279.240,light rain
2017-11-08 00:00:00,277.940,light rain
2017-11-08 01:00:00,277.410,overcast clouds
2017-11-08 02:00:00,275.950,broken clouds
2017-11-08 03:00:00,275.280,broken clouds
2017-11-08 04:00:00,274.550,scattered clouds
2017-11-08 05:00:00,273.230,sky is clear
2017-11-08 06:00:00,272.930,sky is clear
2017-11-08 07:00:00,272.490,sky is clear
2017-11-08 08:00:00,272.120,sky is clear
2017-11-08 09:00:00,271.670,sky is clear
2017-11-08 10:00:00,271.400,sky is clear
2017-11-08 11:00:00,270.840,mist
2017-11-08 12:00:00,271.250,mist
2017-11-08 13:00:00,270.310,mist
2017-11-08 14:00:00,270.930,mist
2017-11-08 15:00:00,273.760,mist
2017-11-08 16:00:00,276.410,sky is clear
2017-11-08 17:00:00,278.050,sky is clear
2017-11-08 18:00:00,279.440,sky is clear
2017-11-08 19:00:00,280.250,sky is clear
2017-11-08 20:00:00,280.940,sky is clear
2017-11-08 21:00:00,280.920,sky is clear
2017-11-08 22:00:00,280.700,sky is clear
2017-11-08 23:00:00,280.260,few clouds
2017-11-09 00:00:00,278.160,sky is clear
2017-11-09 01:00:00,276.340,sky is clear
2017-11-09 02:00:00,275.340,sky is clear
2017-11-09 03:00:00,274.150,sky is clear
2017-11-09 04:00:00,273.060,mist
2017-11-09 05:00:00,273.070,sky is clear
2017-11-09 06:00:00,272.610,sky is clear
2017-11-09 07:00:00,272.980,mist
2017-11-09 08:00:00,273.345,sky is clear
2017-11-09 09:00:00,273.790,sky is clear
2017-11-09 10:00:00,274.250,sky is clear
2017-11-09 11:00:00,274.860,sky is clear
2017-11-09 12:00:00,275.430,overcast clouds
2017-11-09 13:00:00,276.550,broken clouds
2017-11-09 14:00:00,276.950,overcast clouds
2017-11-09 15:00:00,277.590,overcast clouds
2017-11-09 16:00:00,278.590,broken clouds
2017-11-09 17:00:00,280.540,few clouds
2017-11-09 18:00:00,280.550,broken clouds
2017-11-09 19:00:00,280.160,overcast clouds
2017-11-09 20:00:00,279.540,scattered clouds
2017-11-09 21:00:00,279.350,few clouds
2017-11-09 22:00:00,277.330,few clouds
2017-11-09 23:00:00,276.430,scattered clouds
2017-11-10 00:00:00,274.130,sky is clear
2017-11-10 01:00:00,273.500,few clouds
2017-11-10 02:00:00,272.410,few clouds
2017-11-10 03:00:00,271.040,few clouds
2017-11-10 04:00:00,269.330,sky is clear
2017-11-10 05:00:00,268.590,sky is clear
2017-11-10 06:00:00,267.960,overcast clouds
2017-11-10 07:00:00,267.220,overcast clouds
2017-11-10 08:00:00,267.220,overcast clouds
2017-11-10 09:00:00,266.550,overcast clouds
2017-11-10 10:00:00,266.250,light snow
2017-11-10 11:00:00,266.590,light snow
2017-11-10 12:00:00,265.840,light snow
2017-11-10 13:00:00,265.740,light snow
2017-11-10 14:00:00,266.240,light snow
2017-11-10 15:00:00,267.410,light snow
2017-11-10 16:00:00,268.590,mist
2017-11-10 17:00:00,270.060,light intensity drizzle
2017-11-10 18:00:00,270.780,mist
2017-11-10 19:00:00,271.510,mist
2017-11-10 20:00:00,272.050,mist
2017-11-10 21:00:00,272.340,light snow
2017-11-10 22:00:00,272.410,scattered clouds
2017-11-10 23:00:00,271.960,overcast clouds
2017-11-11 00:00:00,270.740,sky is clear
2017-11-11 01:00:00,270.940,broken clouds
2017-11-11 02:00:00,270.600,broken clouds
2017-11-11 03:00:00,270.420,broken clouds
2017-11-11 04:00:00,270.150,broken clouds
2017-11-11 05:00:00,269.870,sky is clear
2017-11-11 06:00:00,269.550,sky is clear
2017-11-11 07:00:00,269.690,sky is clear
2017-11-11 08:00:00,269.735,sky is clear
2017-11-11 09:00:00,269.790,sky is clear
2017-11-11 10:00:00,269.880,scattered clouds
2017-11-11 11:00:00,269.650,broken clouds
2017-11-11 12:00:00,269.860,sky is clear
2017-11-11 13:00:00,269.860,scattered clouds
2017-11-11 14:00:00,270.450,overcast clouds
2017-11-11 15:00:00,270.600,overcast clouds
2017-11-11 16:00:00,271.150,overcast clouds
2017-11-11 17:00:00,272.140,overcast clouds
2017-11-11 18:00:00,273.130,overcast clouds
2017-11-11 19:00:00,273.530,overcast clouds
2017-11-11 20:00:00,274.500,overcast clouds
2017-11-11 21:00:00,275.230,overcast clouds
2017-11-11 22:00:00,275.240,overcast clouds
2017-11-11 23:00:00,275.410,overcast clouds
2017-11-12 00:00:00,275.420,overcast clouds
2017-11-12 01:00:00,275.590,overcast clouds
2017-11-12 02:00:00,275.650,overcast clouds
2017-11-12 03:00:00,275.740,overcast clouds
2017-11-12 04:00:00,275.960,overcast clouds
2017-11-12 05:00:00,275.960,overcast clouds
2017-11-12 06:00:00,275.860,drizzle
2017-11-12 07:00:00,275.870,light rain
2017-11-12 08:00:00,275.650,light rain
2017-11-12 09:00:00,275.690,light rain
2017-11-12 10:00:00,275.550,mist
2017-11-12 11:00:00,275.420,mist
2017-11-12 12:00:00,275.500,mist
2017-11-12 13:00:00,275.550,light rain
2017-11-12 14:00:00,275.690,light rain
2017-11-12 15:00:00,276.140,mist
2017-11-12 16:00:00,276.440,mist
2017-11-12 17:00:00,277.140,light intensity drizzle
2017-11-12 18:00:00,276.850,light snow
2017-11-12 19:00:00,276.750,mist
2017-11-12 20:00:00,276.700,mist
2017-11-12 21:00:00,276.420,drizzle
2017-11-12 22:00:00,276.600,drizzle
2017-11-12 23:00:00,276.510,light rain
2017-11-13 00:00:00,276.330,light rain
2017-11-13 01:00:00,276.150,mist
2017-11-13 02:00:00,276.150,mist
2017-11-13 03:00:00,276.060,mist
2017-11-13 04:00:00,275.960,mist
2017-11-13 05:00:00,275.970,mist
2017-11-13 06:00:00,275.960,mist
2017-11-13 07:00:00,276.050,mist
2017-11-13 08:00:00,275.660,mist
2017-11-13 09:00:00,275.060,mist
2017-11-13 10:00:00,273.890,mist
2017-11-13 11:00:00,273.070,fog
2017-11-13 12:00:00,273.160,fog
2017-11-13 13:00:00,272.060,fog
2017-11-13 14:00:00,272.420,fog
2017-11-13 15:00:00,274.420,haze
2017-11-13 16:00:00,275.760,haze
2017-11-13 17:00:00,277.400,mist
2017-11-13 18:00:00,277.770,mist
2017-11-13 19:00:00,278.040,mist
2017-11-13 20:00:00,278.040,mist
2017-11-13 21:00:00,277.950,mist
2017-11-13 22:00:00,277.770,mist
2017-11-13 23:00:00,277.430,mist
2017-11-14 00:00:00,276.750,haze
2017-11-14 01:00:00,275.960,haze
2017-11-14 02:00:00,275.750,mist
2017-11-14 03:00:00,275.690,mist
2017-11-14 04:00:00,275.330,mist
2017-11-14 05:00:00,274.420,mist
2017-11-14 06:00:00,273.780,mist
2017-11-14 07:00:00,273.240,mist
2017-11-14 08:00:00,272.750,mist
2017-11-14 09:00:00,272.690,fog
2017-11-14 10:00:00,272.240,fog
2017-11-14 11:00:00,272.230,fog
2017-11-14 12:00:00,272.150,fog
2017-11-14 13:00:00,272.320,mist
2017-11-14 14:00:00,273.450,mist
2017-11-14 15:00:00,275.850,mist
2017-11-14 16:00:00,277.230,mist
2017-11-14 17:00:00,280.140,haze
2017-11-14 18:00:00,281.140,haze
2017-11-14 19:00:00,281.320,haze
2017-11-14 20:00:00,281.930,haze
2017-11-14 21:00:00,282.140,haze
2017-11-14 22:00:00,282.230,haze
2017-11-14 23:00:00,282.150,haze
2017-11-15 00:00:00,281.790,overcast clouds
2017-11-15 01:00:00,281.790,overcast clouds
2017-11-15 02:00:00,281.790,overcast clouds
2017-11-15 03:00:00,281.690,overcast clouds
2017-11-15 04:00:00,281.690,overcast clouds
2017-11-15 05:00:00,281.790,overcast clouds
2017-11-15 06:00:00,281.880,overcast clouds
2017-11-15 07:00:00,281.760,overcast clouds
2017-11-15 08:00:00,281.688,overcast clouds
2017-11-15 09:00:00,281.600,light rain
2017-11-15 10:00:00,281.140,moderate rain
2017-11-15 11:00:00,280.710,mist
2017-11-15 12:00:00,280.430,mist
2017-11-15 13:00:00,280.070,mist
2017-11-15 14:00:00,279.880,drizzle
2017-11-15 15:00:00,279.950,mist
2017-11-15 16:00:00,280.150,mist
2017-11-15 17:00:00,280.850,light rain
2017-11-15 18:00:00,281.450,light intensity drizzle
2017-11-15 19:00:00,281.840,light intensity drizzle
2017-11-15 20:00:00,282.970,mist
2017-11-15 21:00:00,283.600,light intensity drizzle
2017-11-15 22:00:00,283.650,mist
2017-11-15 23:00:00,283.060,few clouds
2017-11-16 00:00:00,281.610,sky is clear
2017-11-16 01:00:00,281.050,sky is clear
2017-11-16 02:00:00,278.710,overcast clouds
2017-11-16 03:00:00,275.940,overcast clouds
2017-11-16 04:00:00,274.860,overcast clouds
2017-11-16 05:00:00,274.700,overcast clouds
2017-11-16 06:00:00,274.780,overcast clouds
2017-11-16 07:00:00,274.690,overcast clouds
2017-11-16 08:00:00,274.330,overcast clouds
2017-11-16 09:00:00,273.600,sky is clear
2017-11-16 10:00:00,273.510,sky is clear
2017-11-16 11:00:00,273.360,broken clouds
2017-11-16 12:00:00,273.700,broken clouds
2017-11-16 13:00:00,273.880,overcast clouds
2017-11-16 14:00:00,274.140,overcast clouds
2017-11-16 15:00:00,274.240,overcast clouds
2017-11-16 16:00:00,274.540,overcast clouds
2017-11-16 17:00:00,274.750,overcast clouds
2017-11-16 18:00:00,275.350,overcast clouds
2017-11-16 19:00:00,275.480,overcast clouds
2017-11-16 20:00:00,275.970,overcast clouds
2017-11-16 21:00:00,276.050,overcast clouds
2017-11-16 22:00:00,276.060,overcast clouds
2017-11-16 23:00:00,276.060,overcast clouds
2017-11-17 00:00:00,275.960,overcast clouds
2017-11-17 01:00:00,275.960,overcast clouds
2017-11-17 02:00:00,275.960,overcast clouds
2017-11-17 03:00:00,275.960,overcast clouds
2017-11-17 04:00:00,275.870,overcast clouds
2017-11-17 05:00:00,275.650,overcast clouds
2017-11-17 06:00:00,275.650,overcast clouds
2017-11-17 07:00:00,275.550,overcast clouds
2017-11-17 08:00:00,275.550,overcast clouds
2017-11-17 09:00:00,275.600,overcast clouds
2017-11-17 10:00:00,275.520,overcast clouds
2017-11-17 11:00:00,275.420,scattered clouds
2017-11-17 12:00:00,275.240,mist
2017-11-17 13:00:00,274.700,mist
2017-11-17 14:00:00,274.780,mist
2017-11-17 15:00:00,275.560,haze
2017-11-17 16:00:00,276.320,haze
2017-11-17 17:00:00,277.410,haze
2017-11-17 18:00:00,278.050,overcast clouds
2017-11-17 19:00:00,278.780,overcast clouds
2017-11-17 20:00:00,279.410,moderate rain
2017-11-17 21:00:00,278.790,light intensity drizzle
2017-11-17 22:00:00,278.690,proximity thunderstorm
2017-11-17 23:00:00,278.960,haze
2017-11-18 00:00:00,279.040,light rain
2017-11-18 01:00:00,278.740,thunderstorm with light rain
2017-11-18 02:00:00,279.420,light intensity drizzle
2017-11-18 03:00:00,279.640,mist
2017-11-18 04:00:00,280.540,mist
2017-11-18 05:00:00,281.140,mist
2017-11-18 06:00:00,281.250,drizzle
2017-11-18 07:00:00,281.350,moderate rain
2017-11-18 08:00:00,281.250,light rain
2017-11-18 09:00:00,281.450,light rain
2017-11-18 10:00:00,281.350,moderate rain
2017-11-18 11:00:00,281.030,mist
2017-11-18 12:00:00,281.040,heavy intensity rain
2017-11-18 13:00:00,280.320,proximity thunderstorm with rain
2017-11-18 14:00:00,279.600,mist
2017-11-18 15:00:00,279.430,mist
2017-11-18 16:00:00,278.440,proximity thunderstorm
2017-11-18 17:00:00,277.960,thunderstorm with rain
2017-11-18 18:00:00,277.230,light snow
2017-11-18 19:00:00,276.620,light snow
2017-11-18 20:00:00,275.740,light snow
2017-11-18 21:00:00,276.450,moderate rain
2017-11-18 22:00:00,277.040,light rain
2017-11-18 23:00:00,277.250,light rain
2017-11-19 00:00:00,277.350,overcast clouds
2017-11-19 01:00:00,277.350,overcast clouds
2017-11-19 02:00:00,277.050,overcast clouds
2017-11-19 03:00:00,276.940,overcast clouds
2017-11-19 04:00:00,276.960,overcast clouds
2017-11-19 05:00:00,276.780,overcast clouds
2017-11-19 06:00:00,276.240,overcast clouds
2017-11-19 07:00:00,275.960,overcast clouds
2017-11-19 08:00:00,275.690,overcast clouds
2017-11-19 09:00:00,274.960,overcast clouds
2017-11-19 10:00:00,274.330,overcast clouds
2017-11-19 11:00:00,273.690,overcast clouds
2017-11-19 12:00:00,273.050,overcast clouds
2017-11-19 13:00:00,272.630,overcast clouds
2017-11-19 14:00:00,271.850,scattered clouds
2017-11-19 15:00:00,271.830,broken clouds
2017-11-19 16:00:00,272.410,scattered clouds
2017-11-19 17:00:00,272.700,scattered clouds
2017-11-19 18:00:00,273.500,scattered clouds
2017-11-19 19:00:00,273.970,scattered clouds
2017-11-19 20:00:00,274.350,sky is clear
2017-11-19 21:00:00,274.780,broken clouds
2017-11-19 22:00:00,274.690,broken clouds
2017-11-19 23:00:00,273.960,scattered clouds
2017-11-20 00:00:00,273.240,scattered clouds
2017-11-20 01:00:00,272.780,sky is clear
2017-11-20 02:00:00,271.970,sky is clear
2017-11-20 03:00:00,271.690,sky is clear
2017-11-20 04:00:00,271.420,sky is clear
2017-11-20 05:00:00,271.510,sky is clear
2017-11-20 06:00:00,271.640,sky is clear
2017-11-20 07:00:00,272.330,sky is clear
2017-11-20 08:00:00,272.440,sky is clear
2017-11-20 09:00:00,271.950,sky is clear
2017-11-20 10:00:00,272.320,sky is clear
2017-11-20 11:00:00,272.860,sky is clear
2017-11-20 12:00:00,273.440,sky is clear
2017-11-20 13:00:00,273.310,scattered clouds
2017-11-20 14:00:00,273.940,scattered clouds
2017-11-20 15:00:00,275.430,sky is clear
2017-11-20 16:00:00,277.490,scattered clouds
2017-11-20 17:00:00,279.340,sky is clear
2017-11-20 18:00:00,281.490,scattered clouds
2017-11-20 19:00:00,282.640,sky is clear
2017-11-20 20:00:00,283.750,sky is clear
2017-11-20 21:00:00,284.550,sky is clear
2017-11-20 22:00:00,284.640,scattered clouds
2017-11-20 23:00:00,283.860,scattered clouds
2017-11-21 00:00:00,282.700,few clouds
2017-11-21 01:00:00,281.650,sky is clear
2017-11-21 02:00:00,281.250,sky is clear
2017-11-21 03:00:00,280.980,scattered clouds
2017-11-21 04:00:00,280.160,broken clouds
2017-11-21 05:00:00,279.790,sky is clear
2017-11-21 06:00:00,279.950,sky is clear
2017-11-21 07:00:00,279.810,sky is clear
2017-11-21 08:00:00,279.430,sky is clear
2017-11-21 09:00:00,279.610,sky is clear
2017-11-21 10:00:00,279.520,sky is clear
2017-11-21 11:00:00,279.070,scattered clouds
2017-11-21 12:00:00,278.610,sky is clear
2017-11-21 13:00:00,278.340,sky is clear
2017-11-21 14:00:00,278.510,broken clouds
2017-11-21 15:00:00,279.260,broken clouds
2017-11-21 16:00:00,279.650,moderate rain
2017-11-21 17:00:00,279.260,light rain
2017-11-21 18:00:00,278.550,light rain
2017-11-21 19:00:00,278.150,light rain
2017-11-21 20:00:00,276.980,light rain
2017-11-21 21:00:00,276.040,light rain
2017-11-21 22:00:00,275.770,scattered clouds
2017-11-21 23:00:00,274.740,scattered clouds
2017-11-22 00:00:00,273.540,scattered clouds
2017-11-22 01:00:00,273.240,sky is clear
2017-11-22 02:00:00,272.780,sky is clear
2017-11-22 03:00:00,271.930,few clouds
2017-11-22 04:00:00,271.840,scattered clouds
2017-11-22 05:00:00,270.830,overcast clouds
2017-11-22 06:00:00,270.800,scattered clouds
2017-11-22 07:00:00,269.830,sky is clear
2017-11-22 08:00:00,269.230,scattered clouds
2017-11-22 09:00:00,269.230,overcast clouds
2017-11-22 10:00:00,268.770,sky is clear
2017-11-22 11:00:00,268.290,scattered clouds
2017-11-22 12:00:00,267.520,scattered clouds
2017-11-22 13:00:00,267.440,sky is clear
2017-11-22 14:00:00,267.430,sky is clear
2017-11-22 15:00:00,269.050,sky is clear
2017-11-22 16:00:00,270.240,sky is clear
2017-11-22 17:00:00,271.780,sky is clear
2017-11-22 18:00:00,272.430,few clouds
2017-11-22 19:00:00,273.130,sky is clear
2017-11-22 20:00:00,273.940,few clouds
2017-11-22 21:00:00,274.440,scattered clouds
2017-11-22 22:00:00,274.150,sky is clear
2017-11-22 23:00:00,273.520,sky is clear
2017-11-23 00:00:00,272.610,broken clouds
2017-11-23 01:00:00,272.420,broken clouds
2017-11-23 02:00:00,272.540,overcast clouds
2017-11-23 03:00:00,272.640,broken clouds
2017-11-23 04:00:00,272.230,scattered clouds
2017-11-23 05:00:00,272.050,broken clouds
2017-11-23 06:00:00,272.690,broken clouds
2017-11-23 07:00:00,272.870,overcast clouds
2017-11-23 08:00:00,273.330,overcast clouds
2017-11-23 09:00:00,273.320,overcast clouds
2017-11-23 10:00:00,273.650,overcast clouds
2017-11-23 11:00:00,273.650,overcast clouds
2017-11-23 12:00:00,273.750,overcast clouds
2017-11-23 13:00:00,274.150,overcast clouds
2017-11-23 14:00:00,273.600,overcast clouds
2017-11-23 15:00:00,274.540,broken clouds
2017-11-23 16:00:00,276.140,few clouds
2017-11-23 17:00:00,277.490,few clouds
2017-11-23 18:00:00,278.860,sky is clear
2017-11-23 19:00:00,279.640,sky is clear
2017-11-23 20:00:00,280.590,sky is clear
2017-11-23 21:00:00,281.050,sky is clear
2017-11-23 22:00:00,280.870,sky is clear
2017-11-23 23:00:00,280.050,sky is clear
2017-11-24 00:00:00,277.610,sky is clear
2017-11-24 01:00:00,275.610,sky is clear
2017-11-24 02:00:00,274.860,sky is clear
2017-11-24 03:00:00,274.320,sky is clear
2017-11-24 04:00:00,274.140,mist
2017-11-24 05:00:00,273.690,sky is clear
2017-11-24 06:00:00,274.160,sky is clear
2017-11-24 07:00:00,272.880,sky is clear
2017-11-24 08:00:00,273.070,sky is clear
2017-11-24 09:00:00,273.420,sky is clear
2017-11-24 10:00:00,273.610,sky is clear
2017-11-24 11:00:00,273.690,sky is clear
2017-11-24 12:00:00,274.070,sky is clear
2017-11-24 13:00:00,274.610,sky is clear
2017-11-24 14:00:00,275.060,sky is clear
2017-11-24 15:00:00,277.410,sky is clear
2017-11-24 16:00:00,280.440,few clouds
2017-11-24 17:00:00,282.940,sky is clear
2017-11-24 18:00:00,285.400,sky is clear
2017-11-24 19:00:00,287.500,sky is clear
2017-11-24 20:00:00,289.460,sky is clear
2017-11-24 21:00:00,289.700,sky is clear
2017-11-24 22:00:00,289.760,few clouds
2017-11-24 23:00:00,288.350,few clouds
2017-11-25 00:00:00,286.980,few clouds
2017-11-25 01:00:00,286.260,few clouds
2017-11-25 02:00:00,285.850,few clouds
2017-11-25 03:00:00,285.370,scattered clouds
2017-11-25 04:00:00,284.610,scattered clouds
2017-11-25 05:00:00,283.610,sky is clear
2017-11-25 06:00:00,284.370,scattered clouds
2017-11-25 07:00:00,284.160,scattered clouds
2017-11-25 08:00:00,283.070,sky is clear
2017-11-25 09:00:00,282.600,sky is clear
2017-11-25 10:00:00,281.950,sky is clear
2017-11-25 11:00:00,279.750,sky is clear
2017-11-25 12:00:00,279.420,sky is clear
2017-11-25 13:00:00,278.320,few clouds
2017-11-25 14:00:00,277.770,few clouds
2017-11-25 15:00:00,278.670,sky is clear
2017-11-25 16:00:00,280.240,sky is clear
2017-11-25 17:00:00,281.050,few clouds
2017-11-25 18:00:00,281.860,few clouds
2017-11-25 19:00:00,282.580,sky is clear
2017-11-25 20:00:00,282.840,sky is clear
2017-11-25 21:00:00,283.140,sky is clear
2017-11-25 22:00:00,282.340,sky is clear
2017-11-25 23:00:00,281.340,sky is clear
2017-11-26 00:00:00,279.760,sky is clear
2017-11-26 01:00:00,278.550,sky is clear
2017-11-26 02:00:00,278.240,sky is clear
2017-11-26 03:00:00,277.640,sky is clear
2017-11-26 04:00:00,276.640,sky is clear
2017-11-26 05:00:00,276.240,sky is clear
2017-11-26 06:00:00,275.250,sky is clear
2017-11-26 07:00:00,273.860,sky is clear
2017-11-26 08:00:00,273.500,sky is clear
2017-11-26 09:00:00,271.530,sky is clear
2017-11-26 10:00:00,271.360,sky is clear
2017-11-26 11:00:00,270.860,sky is clear
2017-11-26 12:00:00,270.590,few clouds
2017-11-26 13:00:00,269.960,few clouds
2017-11-26 14:00:00,270.160,sky is clear
2017-11-26 15:00:00,271.480,few clouds
2017-11-26 16:00:00,274.580,scattered clouds
